Timestamp   BTC-candle.max-01-hs-1   BTC-candle.min-01-hs-1   BTC-candle.open-01-hs-1   BTC-candle.close-01-hs-1   BTC-volume.total-01-hs-1
1578607200000   7873.12   7788.78   7789.99   7811.31   1877.3802860000003
1578610800000   7835   7790.01   7811.31   7817.76   1385.9127489999998
1578614400000   7854.06   7811.05   7817.74   7820.01   1276.7557930000005
1578618000000   7841.57   7786.12   7820.25   7804.99   1249.5696490000003
1578621600000   7825   7793.34   7804.99   7803.68   1004.3345310000003
1578625200000   7825   7770   7803.68   7818.02   1415.7527839999996
1578628800000   7819.84   7768.4   7818.06   7795.3   1669.7893599999998
1578632400000   7797.95   7735   7795.33   7748.86   2146.933344
1578636000000   7786.13   7711.76   7748   7748.64   2963.811973
1578639600000   7757.38   7725.77   7747.25   7752.98   1815.165345
1578643200000   7754.36   7680   7753.05   7706.53   4208.967256000001
1578646800000   7750   7691.91   7706.52   7716.47   2842.8687349999987
1578650400000   7788   7672   7716.02   7771.87   3772.5393039999994
1578654000000   7854.44   7766.93   7772.12   7841.69   5366.335556999999
1578657600000   7899.98   7811   7841.03   7893.98   4174.806079999999
1578661200000   7944   7862.31   7893.98   7870.4   4142.505896
1578664800000   7982.85   7850.01   7870.7   7978.65   4262.687889
1578668400000   8086.85   7945.44   7978.65   8066.6   7367.250672000001
1578672000000   8140.11   7928.94   8067.5   7952.65   8107.578673000003
1578675600000   7979   7909.98   7952.23   7966.3   3426.0436729999997
1578679200000   8113.53   7966.3   7966.3   8022.16   6172.791013000003
1578682800000   8122   7964.01   8022.15   8059.49   5212.524366000002
1578686400000   8100   8039.27   8058.05   8073.16   2511.9355310000005
1578690000000   8135.21   8006.65   8074   8049.99   2919.7965400000003
1578693600000   8101.86   7981.59   8048.24   8090.13   1946.8328869999993
1578697200000   8199   8064.64   8090.13   8197.02   2429.200597000001
1578700800000   8200   8119.75   8198.86   8168.92   2971.5221680000004
1578704400000   8253.26   8165.16   8168.39   8204.86   3211.7431940000015
1578708000000   8217.41   8155.02   8204.84   8206.19   2134.580068
1578711600000   8207.81   8125.09   8206   8158.49   1711.758967
1578715200000   8179.94   8101   8158.83   8117.82   1445.9578829999994
1578718800000   8118.4   8044.65   8118.4   8083.41   2285.7058460000003
1578722400000   8128.98   8055.71   8083.41   8124.99   1745.2074180000004
1578726000000   8150   8061.71   8124.99   8074.18   1976.0705069999997
1578729600000   8096.87   8037   8074.17   8052.96   2479.712213
1578733200000   8129.97   8050.83   8052.96   8114.22   1672.7977870000002
1578736800000   8117.03   8042.89   8114.2   8054.03   1477.9135089999995
1578740400000   8074.26   8010   8054.03   8045.95   2106.394416000001
1578744000000   8068   8018.41   8045.89   8061.95   1788.4652399999998
1578747600000   8102.56   8045.01   8061.93   8090.02   1952.326847
1578751200000   8135   8050   8090.73   8053.75   2019.0345619999998
1578754800000   8106.65   8053.08   8054   8099.73   1461.3223260000002
1578758400000   8180.7   8070   8099.16   8169.46   3939.3088130000006
1578762000000   8221.55   8150   8168.35   8160.56   3232.766889
1578765600000   8189   8136.68   8160   8169.14   1586.219348
1578769200000   8179.96   8137.27   8169.64   8151.78   1306.4298979999999
1578772800000   8189.49   8140.98   8151.77   8161.81   1152.1433709999997
1578776400000   8286.34   8060.25   8161.81   8105   4403.099606000001
1578780000000   8139.69   8030   8106.12   8082.57   3727.441848000001
1578783600000   8082.58   8003.16   8082.58   8020.01   3022.109943
1578787200000   8080   7960   8020.01   8060.89   4003.350254999999
1578790800000   8089.97   8036.13   8060.24   8065.53   1073.7796110000002
1578794400000   8108   8052.88   8065.63   8095   1248.5870619999998
1578798000000   8110.92   8065.62   8095   8091.33   963.6375690000002
1578801600000   8105   8071.2   8090.7   8073.79   711.211749
